asin,sku,date,metrics.sales,metrics.spend,metrics.clicks,metrics.impressions,metrics.orders,metrics.conversion_rate,metrics.acos,metrics.roas,metrics.ctr,metrics.cpc,metrics.conversions,metrics.same_sku_sales,metrics.same_sku_orders,metrics.daily_budget,metrics.total_budget,metrics.max_spend,metrics.avg_spend,metrics.total_sales,metrics.total_acos,metrics.total_units,metrics.organic_sales,metrics.organic_orders,metrics.page_views,metrics.ad_sales_perc,metrics.tos_is,metrics.aov,metrics.sessions,metrics.buy_box_percentage,metrics.browser_sessions,metrics.mobile_app_sessions
B0FGVKMVF5,"""None""","""2026-02-27""",760.95,4.57,1,43,1,1.0,0.006,166.51,0.0233,4.57,1,760.95,1,,,,,0,,0,0,0,2,,,760.95,0,,0,0
B0FGVPM2GZ,"""None""","""2026-02-05""",760.95,11.76,3,332,1,0.333333,0.0155,64.71,0.009,3.92,1,760.95,1,,,,,0,,0,0,0,28,,,760.95,0,,0,0
B0FGVPM2GZ,"""None""","""2026-02-08""",760.95,25.43,6,434,1,0.166667,0.0334,29.92,0.0138,4.24,1,760.95,1,,,,,760.95,3.34,1,0,0,35,100.0,,760.95,0,,0,0
B0F32RCXPD,"""None""","""2026-02-01""",618.1,166.6,41,9881,1,0.02439,0.2695,3.71,0.0041,4.06,1,618.1,1,,,,,0,,0,0,0,44,,,618.1,0,,0,0
B0F32RCXPD,"""None""","""2026-02-26""",665.72,16.98,6,544,1,0.166667,0.0255,39.21,0.011,2.83,1,665.72,1,,,,,0,,0,0,0,12,,,665.72,0,,0,0
B0FGVLY16Z,"""None""","""2026-02-14""",760.95,4.99,1,55,1,1.0,0.0066,152.49,0.0182,4.99,1,760.95,1,,,,,0,,0,0,0,3,,,760.95,0,,0,0
B0FFTM7535,"""None""","""2026-02-04""",475.24,5.18,2,231,1,0.5,0.0109,91.75,0.0087,2.59,1,475.24,1,,,,,0,,0,0,0,2,,,475.24,0,,0,0
B0F32V5G2L,"""None""","""2026-02-03""",618.1,59.84,14,2945,1,0.071429,0.0968,10.33,0.0048,4.27,1,618.1,1,,,,,0,,0,0,0,17,,,618.1,0,,0,0
B0F32V5G2L,"""None""","""2026-02-16""",618.1,26.5,8,2145,1,0.125,0.0429,23.32,0.0037,3.31,1,618.1,1,,,,,0,,0,0,0,10,,,618.1,0,,0,0
B0FGVL9147,"""None""","""2026-02-26""",760.95,5.88,1,12,1,1.0,0.0077,129.41,0.0833,5.88,1,760.95,1,,,,,0,,0,0,0,1,,,760.95,0,,0,0
B0F32THN59,"""None""","""2026-02-20""",665.71,17.31,5,1365,1,0.2,0.026,38.46,0.0037,3.46,1,665.71,1,,,,,0,,0,0,0,6,,,665.71,0,,0,0
B0CVXJCWTW,"""None""","""2026-02-13""",494.29,2.19,1,9,1,1.0,0.0044,225.7,0.1111,2.19,1,494.29,1,,,,,0,,0,0,0,1,,,494.29,0,,0,0
B0CVXHKY9C,"""None""","""2026-02-04""",456.19,2.42,1,52,1,1.0,0.0053,188.51,0.0192,2.42,1,456.19,1,,,,,456.19,0.53,1,0,0,3,100.0,,456.19,0,,0,0
B0FFTPG5JP,"""None""","""2026-02-11""",475.24,24.9,6,2761,1,0.166667,0.0524,19.09,0.0022,4.15,1,475.24,1,,,,,0,,0,0,0,11,,,475.24,0,,0,0
B0FFTPG5JP,"""None""","""2026-02-16""",475.24,10.73,3,2659,1,0.333333,0.0226,44.29,0.0011,3.58,1,475.24,1,,,,,0,,0,0,0,5,,,475.24,0,,0,0
B0DG2XRGL4,"""None""","""2026-02-21""",475.24,5.91,4,394,1,0.25,0.0124,80.41,0.0102,1.48,1,475.24,1,,,,,0,,0,0,0,4,,,475.24,0,,0,0
